runn, x, y, z 
25310, 0.969506, 6.092169, 17.607780 
25311, 1.544749, 1.120310, 0.000068 
25312, 1.552212, 1.135373, 1.620971 
25313, 1.576603, 1.170038, 3.366534 
25314, 1.606908, 1.201170, 5.132046 
25315, 1.644432, 1.239077, 6.971329 
25316, 1.539567, 1.159082, 8.879125 
25317, 1.583730, 1.226527, 10.902990 
25318, 4.754097, 2.392133, 12.602494 
25319, 5.865971, 2.522571, 13.963380 
25320, 6.110560, 2.815538, 15.060451 
25321, 6.326988, 2.622186, 15.948703 
25322, 6.471709, 2.536620, 16.711109 
25323, 6.440539, 2.307410, 17.338757 
25324, 6.568858, 2.142035, 17.845232 
25325, 6.703262, 1.874335, 18.226259 
25326, 1.534934, 1.164116, 0.000175 
25327, 1.541396, 1.171367, 1.614800 
25328, 1.564255, 1.205532, 3.353602 
25329, 1.592976, 1.236471, 5.112277 
25330, 1.628971, 1.273932, 6.944438 
25331, 1.524206, 1.191529, 8.844845 
25332, 1.566026, 1.258919, 10.860872 
25333, 4.498069, 2.420773, 12.553794 
25334, 5.779107, 2.697732, 13.909410 
25335, 6.018177, 2.995062, 15.002232 
25336, 6.238993, 2.816190, 15.887043 
25337, 6.387213, 2.731671, 16.646498 
25338, 6.361414, 2.504594, 17.271713 
25339, 6.493092, 2.346840, 17.776228 
25340, 6.632885, 2.092152, 18.155779 
25341, 1.538618, 1.253046, 0.000347 
25342, 1.524563, 1.231399, 1.603198 
25343, 1.543957, 1.263825, 3.329320 
25344, 1.564355, 1.289579, 5.075170 
25345, 1.601607, 1.329237, 6.893970 
25346, 1.495986, 1.241966, 8.780519 
25347, 1.532898, 1.308101, 10.781845 
25348, 4.034354, 2.408685, 12.462421 
25349, 5.636230, 2.979079, 13.808151 
25350, 5.865432, 3.283139, 14.893004 
25351, 6.091457, 3.127222, 15.771364 
25352, 6.245026, 3.044289, 16.525280 
25353, 6.227229, 2.820488, 17.145937 
25354, 6.363321, 2.674804, 17.646772 
25355, 6.510187, 2.440894, 18.023556 
25356, 1.446752, 1.303192, 0.000594 
25357, 1.459830, 1.285557, 1.598711 
25358, 1.478907, 1.318715, 3.319734 
25359, 1.503465, 1.349967, 5.060427 
25360, 1.535695, 1.386857, 6.873854 
25361, 1.433796, 1.296528, 8.754830 
25362, 1.468896, 1.364688, 10.750245 
25363, 3.828035, 2.631895, 12.425857 
25364, 5.227359, 3.258763, 13.767612 
25365, 5.609881, 3.676257, 14.849259 
25366, 5.842599, 3.555329, 15.725024 
25367, 6.006249, 3.476726, 16.476713 
25368, 6.000973, 3.259202, 17.095537 
25369, 6.143273, 3.131820, 17.594893 
25370, 6.298268, 2.928461, 17.970564 
25371, 1.361764, 1.409963, 0.004018 
25372, 1.393058, 1.382217, 1.573502 
25373, 1.412544, 1.417683, 3.263690 
25374, 1.437102, 1.452323, 4.973196 
25375, 1.469920, 1.492094, 6.754132 
25376, 1.378779, 1.403348, 8.601407 
25377, 1.411894, 1.476003, 10.561070 
25378, 3.411960, 2.826397, 12.206661 
25379, 4.897309, 3.776893, 13.524376 
25380, 5.252445, 4.226898, 14.586644 
25381, 5.489828, 4.153969, 15.446719 
25382, 5.669086, 4.082532, 16.184940 
25383, 5.680967, 3.873862, 16.792677 
25384, 5.835051, 3.774549, 17.283085 
25385, 5.830573, 3.511806, 17.652025 
25386, 1.267109, 1.531384, 0.001322 
25387, 1.315577, 1.489005, 1.568016 
25388, 1.331057, 1.522405, 3.255199 
25389, 1.351012, 1.556028, 4.961666 
25390, 1.383868, 1.598739, 6.739436 
25391, 1.294940, 1.502403, 8.583427 
25392, 1.324808, 1.578867, 10.539607 
25393, 3.083984, 3.116246, 12.182272 
25394, 4.453248, 4.290326, 13.497644 
25395, 4.772479, 4.771386, 14.558024 
25396, 5.003533, 4.749412, 15.416570 
25397, 5.202163, 4.691496, 16.153479 
25398, 5.228562, 4.493146, 16.760134 
25399, 5.378675, 4.417239, 17.249672 
25400, 5.537533, 4.298637, 17.617956 
25401, 1.167329, 1.665905, 0.003259 
25402, 1.235297, 1.607602, 1.562206 
25403, 1.251062, 1.643898, 3.241046 
25404, 1.266811, 1.676550, 4.939075 
25405, 1.295981, 1.717910, 6.708054 
25406, 1.214065, 1.619106, 8.542927 
25407, 1.236570, 1.695002, 10.489433 
25408, 2.724511, 3.388551, 12.123975 
25409, 3.941319, 4.779978, 13.432843 
25410, 4.224161, 5.296078, 14.487980 
25411, 4.440412, 5.324531, 15.342279 
25412, 4.650544, 5.274811, 16.075544 
25413, 4.690141, 5.087923, 16.679201 
25414, 4.841691, 5.043197, 17.166317 
25415, 4.989822, 4.967102, 17.532780 
25416, 0.974486, 1.754032, 0.003777 
25417, 1.066550, 1.678202, 1.578813 
25418, 1.079990, 1.714251, 3.274981 
25419, 1.095887, 1.752834, 4.990535 
25420, 1.119359, 1.789626, 6.777772 
25421, 1.041056, 1.679154, 8.631582 
25422, 1.057372, 1.755870, 10.598179 
25423, 2.274959, 3.767554, 12.249591 
25424, 3.149393, 5.246747, 13.571968 
25425, 3.376927, 5.799374, 14.637995 
25426, 3.560795, 5.889688, 15.501112 
25427, 3.793014, 5.868271, 16.241943 
25428, 3.845766, 5.698611, 16.851831 
25429, 3.982644, 5.683051, 17.343975 
25430, 4.108073, 5.661818, 17.714220 
25431, 0.786788, 1.810547, 0.004261 
25432, 0.900923, 1.717827, 1.600288 
25433, 0.914581, 1.757878, 3.319061 
25434, 0.926591, 1.796018, 5.057478 
25435, 0.950615, 1.837688, 6.868535 
25436, 0.882132, 1.726060, 8.747051 
25437, 0.892374, 1.802700, 10.739857 
25438, 1.893675, 4.261281, 12.413278 
25439, 2.443758, 5.754416, 13.753279 
25440, 2.540017, 6.161180, 14.833513 
25441, 2.683509, 6.302615, 15.708133 
25442, 2.928777, 6.303686, 16.458839 
25443, 2.991267, 6.151156, 17.076855 
25444, 3.113546, 6.164007, 17.575558 
25445, 3.201904, 6.175330, 17.950735 
25446, 0.700034, 2.002105, 0.001549 
25447, 0.813639, 1.821552, 1.594416 
25448, 0.819628, 1.848755, 3.309786 
25449, 0.747809, 1.702523, 5.044761 
25450, 0.766648, 1.737089, 6.852232 
25451, 0.775926, 1.785378, 8.727029 
25452, 0.777843, 1.853793, 10.715889 
25453, 1.456840, 4.345268, 12.385997 
25454, 1.813841, 5.940648, 13.723344 
25455, 1.879814, 6.349091, 14.801439 
25456, 1.984393, 6.517043, 15.674328 
25457, 2.237611, 6.537238, 16.423548 
25458, 2.305707, 6.399136, 17.040339 
25459, 2.410189, 6.421576, 17.538055 
25460, 2.469464, 6.457608, 17.912491 
25461, 0.613925, 2.197265, 0.001867 
25462, 0.665623, 1.739714, 1.571822 
25463, 0.667836, 1.757849, 3.262519 
25464, 0.669374, 1.780284, 4.972538 
25465, 0.683890, 1.805981, 6.754010 
25466, 0.685577, 1.845425, 8.601840 
25467, 0.680075, 1.903698, 10.562093 
25468, 1.083445, 4.403475, 12.208178 
25469, 1.221310, 5.876484, 13.526289 
25470, 1.301379, 6.478585, 14.588877 
25471, 1.369214, 6.662914, 15.449210 
25472, 1.628647, 6.700045, 16.187653 
25473, 1.697112, 6.561963, 16.795572 
25474, 1.788802, 6.600187, 17.286129 
25475, 1.816681, 6.640769, 17.655178 
25476, 0.540718, 2.376136, 0.003648 
25477, 0.612021, 1.823835, 1.582101 
25478, 0.611330, 1.834022, 3.281949 
25479, 0.609177, 1.848685, 5.001225 
25480, 0.620804, 1.866361, 6.792339 
25481, 0.616938, 1.897603, 8.650171 
25482, 0.548442, 1.761593, 10.621035 
25483, 0.765097, 4.238879, 12.276030 
25484, 0.807948, 5.937881, 13.601275 
25485, 0.855088, 6.543766, 14.669615 
25486, 0.893569, 6.736470, 15.534605 
25487, 1.156991, 6.786991, 16.277044 
25488, 1.227009, 6.652466, 16.888254 
25489, 1.306775, 6.696309, 17.381466 
25490, 1.311615, 6.740899, 17.752514 
25491, 0.499009, 2.513266, 3.802247 
25492, 0.584854, 1.890515, 5.023816 
25493, 0.582276, 1.894428, 6.339332 
25494, 0.577738, 1.902883, 7.669883 
25495, 0.587553, 1.914136, 9.056030 
25496, 0.524596, 1.753042, 10.493811 
25497, 0.543780, 1.726161, 11.969067 
25498, 1.136906, 4.403227, 12.849871 
25499, 0.571308, 5.961781, 14.325481 
25500, 0.599481, 6.567987, 15.152272 
25501, 0.665651, 6.708642, 15.771689 
25502, 0.886121, 6.820894, 16.396265 
25503, 0.956877, 6.687574, 16.869282 
25504, 1.029634, 6.733450, 17.250980 
25505, 1.021168, 6.778525, 17.538136 
25506, 2.709366, 1.552039, 0.000161 
25507, 2.728701, 1.558405, 1.618144 
25508, 2.768782, 1.578130, 3.360561 
25509, 2.816316, 1.590162, 5.122892 
25510, 2.891802, 1.571401, 6.958861 
25511, 2.797365, 1.494794, 8.863219 
25512, 2.875197, 1.514014, 10.883439 
25513, 5.628100, 3.115168, 12.579880 
25514, 6.789670, 3.078159, 13.938313 
25515, 6.995121, 3.420186, 15.033408 
25516, 7.177588, 3.312816, 15.920059 
25517, 7.365574, 3.136863, 16.681091 
25518, 7.389110, 2.803320, 17.307610 
25519, 7.558010, 2.528388, 17.813171 
25520, 7.703010, 2.232270, 18.193512 
25521, 2.672813, 1.624441, 0.000413 
25522, 2.700964, 1.632369, 1.612295 
25523, 2.739847, 1.652671, 3.348142 
25524, 2.786245, 1.665859, 5.103828 
25525, 2.861065, 1.649215, 6.932876 
25526, 2.767359, 1.570645, 8.830053 
25527, 2.843393, 1.592663, 10.842655 
25528, 5.360095, 3.162409, 12.532701 
25529, 6.682997, 3.277273, 13.886012 
25530, 6.882643, 3.620868, 14.976977 
25531, 7.067965, 3.524348, 15.860286 
25532, 7.262820, 3.349817, 16.618448 
25533, 7.292456, 3.025462, 17.242603 
25534, 7.466942, 2.762408, 17.746262 
25535, 7.617946, 2.480493, 18.125168 
25536, 2.665530, 1.776907, 0.000819 
25537, 2.657854, 1.754937, 1.601284 
25538, 2.692153, 1.774328, 3.324835 
25539, 2.721803, 1.779560, 5.068085 
25540, 2.804780, 1.772423, 6.884176 
25541, 2.709389, 1.688851, 8.767915 
25542, 2.779173, 1.713335, 10.766261 
25543, 4.892455, 3.187788, 12.444334 
