runn, x, y, z 
50737, -21.818306, 20.443357, 16.737419 
50738, -22.276726, 20.549921, 19.127708 
50739, -22.585741, 20.283178, 20.585293 
50740, -22.785711, 20.580595, 21.449547 
50741, -22.734108, 20.762796, 21.943060 
50742, -22.707846, 20.853939, 22.190044 
50743, -22.423698, 16.911366, 8.730337 
50744, -22.422150, 17.041807, 9.184792 
50745, -22.403868, 17.323563, 10.104918 
50746, -22.916946, 16.954237, 11.198052 
50747, -23.270395, 16.780470, 12.270711 
50748, -23.418581, 17.116215, 14.130536 
50749, -23.343201, 17.961462, 16.750938 
50750, -23.822720, 18.005991, 19.145151 
50751, -24.288031, 17.797785, 20.605127 
50752, -24.349970, 17.962761, 21.470800 
50753, -24.306755, 18.162384, 21.965124 
50754, -24.284603, 18.262274, 22.212513 
50755, -23.188358, 15.807603, 8.730519 
50756, -23.195312, 15.934666, 9.185333 
50757, -23.176138, 16.237579, 10.106188 
50758, -23.684683, 15.824461, 11.200185 
50759, -24.035868, 15.624004, 12.273692 
50760, -24.195034, 15.959895, 14.134988 
50761, -24.140175, 16.836702, 16.757462 
50762, -24.627932, 16.848980, 19.153568 
50763, -25.094522, 16.601475, 20.614698 
50764, -25.161646, 16.767273, 21.481056 
50765, -25.122967, 16.976196, 21.975769 
50766, -25.103048, 17.080746, 22.223354 
50767, -23.551661, 15.240717, 8.733919 
50768, -23.562763, 15.365892, 9.195439 
50769, -23.543894, 15.679678, 10.129872 
50770, -24.049017, 15.244448, 11.240002 
50771, -24.398397, 15.030547, 12.329339 
50772, -24.563215, 15.366390, 14.218081 
50773, -24.519745, 16.258982, 16.879225 
50774, -25.010880, 16.254839, 19.310663 
50775, -25.477087, 15.987410, 20.793339 
50776, -25.546896, 16.153572, 21.672472 
50777, -25.510799, 16.367159, 22.174480 
50778, -25.492151, 16.474051, 22.425716 
50779, -23.777760, 14.872133, 8.737286 
50780, -23.791477, 14.996029, 9.205448 
50781, -23.773085, 15.316864, 10.153329 
50782, -24.275597, 14.867409, 11.279435 
50783, -24.623583, 14.644850, 12.384450 
50784, -24.792080, 14.980625, 14.300375 
50785, -24.756308, 15.883327, 16.999819 
50786, -25.249352, 15.868549, 19.466249 
50787, -25.714949, 15.588261, 20.970264 
50788, -25.786512, 15.754640, 21.862049 
50789, -25.752186, 15.971216, 22.371283 
50790, -25.734404, 16.079611, 22.626135 
